,Country,Year,Annual COƒ??,Share of global COƒ?? emissions (%),GHG(tonnes COƒ??e ),AverageTemperature,GDP,Population,GDP_per_capita
2955,Qatar,1993,30647889.04,0.1383,17370000.0,27.049750000000007,,,
2956,Qatar,1994,30154773.94,0.1338,18270000.0,27.529583333333335,,,
2957,Qatar,1995,31717146.54,0.1379,19070000.0,27.103083333333334,,,
2958,Qatar,1996,32203763.72,0.1369,20020000.0,27.608083333333337,,,
2959,Qatar,1997,37393526.97,0.1564,21710000.0,27.157916666666665,,,
2960,Qatar,1998,32271043.34,0.1345,23110000.0,28.42483333333333,,,
2961,Qatar,1999,31271074.57,0.1307,25410000.0,28.567000000000004,,,
2962,Qatar,2000,34566150.38,0.1407,24270000.0,27.993,,,
2963,Qatar,2001,41214534.38,0.16399999999999998,26190000.0,28.30566666666667,,,
2964,Qatar,2002,40701935.77,0.1597,30540000.0,28.1855,,,
2965,Qatar,2003,41299356.96,0.1537,32070000.0,28.32508333333333,,,
2966,Qatar,2004,42710329.98,0.1515,35590000.0,28.140416666666667,,,
2967,Qatar,2005,50690079.09,0.1733,44840000.0,28.013083333333338,,,
2968,Qatar,2006,63196167.43,0.2087,49080000.0,28.071416666666668,,,
2969,Qatar,2007,62899427.93,0.2037,56380000.0,28.170416666666664,,,
2970,Qatar,2008,64257096.11,0.2016,60640000.0,27.86533333333333,,,
2971,Qatar,2009,68596891.43,0.2176,63380000.0,28.122500000000006,,,
2972,Qatar,2010,71919911.52,0.2175,69340000.0,28.889583333333334,,,
2973,Qatar,2011,79647573.21,0.2318,73310000.0,28.1615,,,
2974,Qatar,2012,93219420.62,0.267,80910000.0,28.484499999999997,,,
2975,Qatar,2013,84152512.38,0.239,83140000.0,28.57375,,,
2976,Romania,1990,171231788.3,0.7719,246680000.0,10.226,123.95468139648438,22865945.0,5420.929744932229
2977,Romania,1991,140966758.5,0.6285,204540000.0,8.728166666666665,107.94195556640624,22825559.0,4728.995051836682
2978,Romania,1992,130286047.4,0.5870000000000001,183490000.0,9.562583333333334,98.47843933105469,22797027.0,4319.7930735027285
2979,Romania,1993,121627189.6,0.5489999999999999,171210000.0,8.862916666666669,99.9840087890625,22765757.0,4391.859615696614
2980,Romania,1994,119670747.5,0.5311,167740000.0,10.609,103.91532135009766,22733020.0,4571.1181950351365
2981,Romania,1995,124836930.8,0.5426,173320000.0,9.138749999999998,111.33301544189452,22687407.0,4907.26046576828
2982,Romania,1996,128277631.7,0.5453,176440000.0,8.649416666666665,115.6413803100586,22622471.0,5111.792620269403
2983,Romania,1997,119265891.7,0.4987,163570000.0,8.523666666666667,110.0719223022461,22557739.0,4879.563607959383
2984,Romania,1998,104755659.1,0.4368,146130000.0,9.178416666666669,107.77444458007812,22511376.0,4787.554727000168
2985,Romania,1999,88682298.25,0.3706,130520000.0,10.091000000000001,107.34170532226562,22476289.0,4775.775276882479
2986,Romania,2000,93538381.76,0.3809,135080000.0,10.472249999999999,109.9126434326172,22447353.0,4896.4634463857365
2987,Romania,2001,98877063.45,0.3933,140350000.0,9.638583333333335,116.0589599609375,22415499.0,5177.621071961748
2988,Romania,2002,99151878.22,0.3889,138020000.0,10.392666666666665,122.07567596435548,22365752.0,5458.15208736802
2989,Romania,2003,103576693.0,0.3855,143630000.0,9.340166666666667,128.81947326660156,22304678.0,5775.446445207664
2990,Romania,2004,102874430.1,0.365,140160000.0,9.558166666666667,139.58697509765622,22247630.0,6274.240226831184
2991,Romania,2005,100966617.1,0.3451,138760000.0,9.123166666666664,145.41041564941406,22197164.0,6550.855579992744
2992,Romania,2006,104130559.8,0.3438,135940000.0,9.469,157.12405395507812,22150478.0,7093.483669069269
2993,Romania,2007,108559692.9,0.3516,133840000.0,10.868333333333332,167.90866088867188,22106151.0,7595.562922223406
2994,Romania,2008,105365397.6,0.3306,130360000.0,10.460999999999999,181.77769470214844,22060808.0,8239.847547839065
2995,Romania,2009,87205422.53,0.2766,113370000.0,10.470666666666668,171.03396606445312,22011818.0,7770.097229790521
2996,Romania,2010,83551258.13,0.2527,110230000.0,9.851666666666665,166.22518920898438,21959278.0,7569.701936875355
2997,Romania,2011,89343217.71,0.26,-42820000.0,9.569,169.5615997314453,21904551.0,7740.930171608873
2998,Romania,2012,86320925.39,0.2472,-44780000.0,10.301083333333331,173.08367919921875,21848504.0,7921.992242545245
2999,Romania,2013,76829198.18,0.2182,-56920000.0,11.6455,179.16671752929688,21790479.0,8222.24777754068
3000,Russia,1990,2571210651.0,11.5915,3559400000.0,-4.022916666666667,1413.8896484375,147972865.0,9555.060304046288
3001,Russia,1991,2437038082.0,10.8654,3463010000.0,-4.236999999999999,1342.531494140625,148298981.0,9052.870660929391
3002,Russia,1992,1993217628.0,8.9804,3223070000.0,-4.903250000000001,1147.447265625,148444313.0,7729.8162687108115
3003,Russia,1993,1890935002.0,8.5357,2965810000.0,-4.62175,1047.9803466796877,148488770.0,7057.640430853374
3004,Russia,1994,1669637144.0,7.4095,2682660000.0,-4.898416666666667,916.2518310546876,148621859.0,6164.9870161743
3005,Russia,1995,1640263218.0,7.1293,2602080000.0,-3.1301666666666663,878.2866821289062,148758039.0,5904.129202247054
