Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,707960 BCE,230.51
World,OWID_WRL,707504 BCE,231.43
World,OWID_WRL,707009 BCE,234.84
World,OWID_WRL,706463 BCE,233.11
World,OWID_WRL,706250 BCE,233.58
World,OWID_WRL,705694 BCE,233.51
World,OWID_WRL,705361 BCE,238.85
World,OWID_WRL,704761 BCE,236.05
World,OWID_WRL,704543 BCE,236.05
World,OWID_WRL,704103 BCE,237.66
World,OWID_WRL,703777 BCE,237.18
World,OWID_WRL,703294 BCE,235.09
World,OWID_WRL,703103 BCE,234.04
World,OWID_WRL,702632 BCE,233.54
World,OWID_WRL,702301 BCE,232.83
World,OWID_WRL,701846 BCE,232.28
World,OWID_WRL,701519 BCE,233.35
World,OWID_WRL,701060 BCE,230.59
World,OWID_WRL,700784 BCE,232.18
World,OWID_WRL,700251 BCE,232.16
World,OWID_WRL,700043 BCE,230.88
World,OWID_WRL,699575 BCE,232.46
World,OWID_WRL,699319 BCE,235.42
World,OWID_WRL,698865 BCE,236.61
World,OWID_WRL,698535 BCE,236.72
World,OWID_WRL,698154 BCE,237.21
World,OWID_WRL,697915 BCE,239.73
World,OWID_WRL,697489 BCE,239.01
World,OWID_WRL,697266 BCE,238.86
World,OWID_WRL,696803 BCE,241.83
World,OWID_WRL,696556 BCE,240.9
World,OWID_WRL,696089 BCE,241.03
World,OWID_WRL,695797 BCE,239.88
World,OWID_WRL,695392 BCE,238.42
World,OWID_WRL,695140 BCE,239.44
World,OWID_WRL,694695 BCE,238.13
World,OWID_WRL,694485 BCE,238.05
World,OWID_WRL,694032 BCE,238.74
World,OWID_WRL,693782 BCE,236.8
World,OWID_WRL,693309 BCE,239.8
World,OWID_WRL,692999 BCE,239.31
World,OWID_WRL,692587 BCE,240.46
World,OWID_WRL,692330 BCE,239.34
World,OWID_WRL,691871 BCE,237.76
World,OWID_WRL,691624 BCE,243.7
World,OWID_WRL,691127 BCE,238.47
World,OWID_WRL,690882 BCE,239.3
World,OWID_WRL,690368 BCE,243.56
World,OWID_WRL,690018 BCE,239.38
World,OWID_WRL,689518 BCE,238.42
World,OWID_WRL,689272 BCE,239.29
World,OWID_WRL,688786 BCE,236.45
World,OWID_WRL,688525 BCE,235.8
World,OWID_WRL,688001 BCE,232.27
World,OWID_WRL,687743 BCE,232.07
World,OWID_WRL,687208 BCE,230.67
World,OWID_WRL,686860 BCE,227.64
World,OWID_WRL,686350 BCE,227.65
World,OWID_WRL,686050 BCE,226.73
World,OWID_WRL,685495 BCE,222.97
World,OWID_WRL,685204 BCE,222.7
World,OWID_WRL,684632 BCE,222.62
World,OWID_WRL,684319 BCE,220.63
World,OWID_WRL,683730 BCE,220.62
World,OWID_WRL,683345 BCE,221.82
World,OWID_WRL,682808 BCE,224.36
World,OWID_WRL,682474 BCE,225.64
World,OWID_WRL,681879 BCE,222.7
World,OWID_WRL,681508 BCE,220.24
World,OWID_WRL,680790 BCE,219.14
World,OWID_WRL,680394 BCE,221.31
World,OWID_WRL,679720 BCE,227.9
World,OWID_WRL,679276 BCE,225.81
World,OWID_WRL,678678 BCE,233.11
World,OWID_WRL,678363 BCE,233.61
World,OWID_WRL,677785 BCE,232.7
World,OWID_WRL,677505 BCE,229.16
World,OWID_WRL,676792 BCE,220.09
World,OWID_WRL,676378 BCE,218.21
World,OWID_WRL,675651 BCE,216.59
World,OWID_WRL,675202 BCE,219.96
