,Id,Name,Playlist_Id,Album_Id,Date_added,Duration,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Mode,Track_Number,cluster
733,53pNfX9ssRsn5tdVSbdCj1,Knickers,1wrqSkZXURdcTk0X4BO0bP,12SHhFHupj46kNfhh4tIVA,2012-10-19T06:28:18Z,172293.0,2.0,0.618,0.595,-9.583,0.0325,0.628,0.0,0.0918,0.7809999999999999,143.872,3,1,2.0,2
736,62M302W9KORj8Djsfrwqt3,Simple Man,1wrqSkZXURdcTk0X4BO0bP,12SHhFHupj46kNfhh4tIVA,2012-10-19T06:28:18Z,139973.0,6.0,0.6920000000000001,0.594,-9.427,0.0294,0.775,1.07e-05,0.0903,0.696,145.08700000000005,5,1,6.0,2
737,4Wtg1yjjrIFeBlQRZRRKaF,Contemporary Love,1wrqSkZXURdcTk0X4BO0bP,12SHhFHupj46kNfhh4tIVA,2012-10-19T06:28:18Z,191360.0,13.0,0.7509999999999999,0.20199999999999999,-11.888,0.031,0.877,8.499999999999999e-05,0.0995,0.179,113.991,1,1,7.0,2
739,6UBTSlsH4HqlXJq4UHVQeQ,Hatcheplayà,1wrqSkZXURdcTk0X4BO0bP,12SHhFHupj46kNfhh4tIVA,2012-10-19T06:28:18Z,247493.0,2.0,0.6579999999999999,0.59,-10.843,0.0277,0.647,0.00023199999999999997,0.106,0.7929999999999999,143.953,0,1,9.0,2
741,7jwGbzWDSwZOUvgquQEvxA,Miqui's Two Nostalgic Punk Songs,,12SHhFHupj46kNfhh4tIVA,2012-11-08T10:22:28Z,205640.0,10.0,0.478,0.474,-8.338,0.0352,0.775,1.93e-05,0.18899999999999997,0.5920000000000001,111.71700000000001,5,1,5.0,2
760,3cT4ooePmChyZsrondUxs7,Ciencias Exactas,2VW0MLYsZGkVE101NEyrdc,3FNvb5ldbHkXYtphRcHzLM,2012-08-29T08:07:46Z,169346.0,0.0,0.551,0.47,-7.046,0.0659,0.914,0.23600000000000002,0.10800000000000001,0.138,107.318,0,1,9.0,2
769,113B8emz5HgcbH6jonP6EC,Los Japoneses No Son Tan Chinos,2VW0MLYsZGkVE101NEyrdc,39ShfjSuaBx2i1S56gfldx,2012-08-29T08:07:58Z,205040.0,0.0,0.605,0.535,-7.5829999999999975,0.038,0.32899999999999996,0.00114,0.26,0.315,118.16799999999999,7,1,7.0,2
773,5wirnIsmvF9fbiuxykQgvH,La Chica Tripolar,2VW0MLYsZGkVE101NEyrdc,39ShfjSuaBx2i1S56gfldx,2012-08-29T08:07:58Z,193320.0,0.0,0.531,0.40299999999999997,-9.224,0.0432,0.81,1.87e-06,0.11,0.389,118.90100000000001,7,1,11.0,2
774,3f1QGxy0wZSjjK0JychR1L,La Estatua De La Libertad,,39ShfjSuaBx2i1S56gfldx,2012-08-29T08:07:58Z,625160.0,0.0,0.426,0.00022999999999999998,-7.641,0.0648,0.39399999999999996,0.000513,0.11,0.10400000000000001,114.28399999999999,7,1,12.0,2
779,7vkMXd750sEUwABZM67ptY,El cáliz de fuego,6S6YOHxtlap5BcYdl8MSZn,5dppFwagnwh2Q2vMkt41Dw,2012-08-15T11:17:00Z,123560.0,21.0,0.597,0.525,-8.359,0.0302,0.7090000000000001,0.0,0.147,0.897,104.59100000000001,11,0,5.0,2
787,343pJauMFZi7wxg4Hfno00,Molta merda i massa teatre,6S6YOHxtlap5BcYdl8MSZn,5dppFwagnwh2Q2vMkt41Dw,2012-08-15T11:17:00Z,103503.0,13.0,0.8540000000000001,0.446,-11.704,0.0451,0.75,0.0,0.0944,0.9229999999999999,104.88600000000001,9,0,13.0,2
790,0yVsdbM9AMvbTTwFTBPpLR,Si de nit,6S6YOHxtlap5BcYdl8MSZn,5dppFwagnwh2Q2vMkt41Dw,2012-08-15T11:17:00Z,140868.0,12.0,0.68,0.602,-7.97,0.037000000000000005,0.792,0.0242,0.213,0.39399999999999996,104.93,9,0,16.0,2
796,05hHqVCBK8uxIKaP5PPY4X,Doctor,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,226011.0,20.0,0.5579999999999999,0.614,-5.994,0.0276,0.7090000000000001,2.45e-05,0.0693,0.467,140.975,6,1,1.0,2
797,5PSRmEY9WypxunUnEKOxOu,8 Punts,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,111438.0,15.0,0.522,0.4270000000000001,-7.396,0.0254,0.7809999999999999,9.51e-05,0.289,0.439,135.947,1,1,2.0,2
798,7FqWyH4k3JcOiFSHpuZprh,Foc,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,186906.0,5.0,0.469,0.366,-8.785,0.0287,0.879,0.0294,0.149,0.163,136.938,8,1,3.0,2
799,4N2R4THcpmE36zfCeabTbc,Segona Mà,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,180291.0,5.0,0.495,0.35100000000000003,-10.843,0.0311,0.812,4.19e-06,0.129,0.35600000000000004,124.652,5,1,4.0,2
