,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
489,0.518,0.873,2,-4.017,0,0.0828,0.244,0.0,0.0558,0.719,155.198,audio_features,41CFzRHUEOdbf0bUOd3PN2,spotify:track:41CFzRHUEOdbf0bUOd3PN2,https://api.spotify.com/v1/tracks/41CFzRHUEOdbf0bUOd3PN2,https://api.spotify.com/v1/audio-analysis/41CFzRHUEOdbf0bUOd3PN2,219187,4
490,0.758,0.609,9,-6.568,0,0.0376,0.422,1.33e-06,0.124,0.734,125.949,audio_features,0oKOAL9nhFMieApXNLYkZ8,spotify:track:0oKOAL9nhFMieApXNLYkZ8,https://api.spotify.com/v1/tracks/0oKOAL9nhFMieApXNLYkZ8,https://api.spotify.com/v1/audio-analysis/0oKOAL9nhFMieApXNLYkZ8,183413,4
491,0.68,0.651,5,-9.113,0,0.141,0.195,0.00228,0.276,0.652,110.018,audio_features,5XZyIOvleZYTh0DD399M90,spotify:track:5XZyIOvleZYTh0DD399M90,https://api.spotify.com/v1/tracks/5XZyIOvleZYTh0DD399M90,https://api.spotify.com/v1/audio-analysis/5XZyIOvleZYTh0DD399M90,210933,4
492,0.671,0.184,1,-14.264,1,0.0413,0.94,3.03e-05,0.14,0.591,143.169,audio_features,3PsKk2bKfaPzzdJIH104iL,spotify:track:3PsKk2bKfaPzzdJIH104iL,https://api.spotify.com/v1/tracks/3PsKk2bKfaPzzdJIH104iL,https://api.spotify.com/v1/audio-analysis/3PsKk2bKfaPzzdJIH104iL,143720,4
493,0.704,0.628,5,-7.2,0,0.111,0.331,0.0,0.156,0.763,97.072,audio_features,3VShxisOLs2SguUWJcnoZ4,spotify:track:3VShxisOLs2SguUWJcnoZ4,https://api.spotify.com/v1/tracks/3VShxisOLs2SguUWJcnoZ4,https://api.spotify.com/v1/audio-analysis/3VShxisOLs2SguUWJcnoZ4,211174,4
494,0.763,0.79,10,-7.797,1,0.185,0.351,0.0,0.0488,0.767,140.009,audio_features,03eB0ePvBkMWAb71U4NSUt,spotify:track:03eB0ePvBkMWAb71U4NSUt,https://api.spotify.com/v1/tracks/03eB0ePvBkMWAb71U4NSUt,https://api.spotify.com/v1/audio-analysis/03eB0ePvBkMWAb71U4NSUt,206639,4
495,0.832,0.876,6,-5.124,0,0.205,0.173,0.737,0.162,0.635,120.057,audio_features,3PnOOmkxruDDAiMYZZTgO7,spotify:track:3PnOOmkxruDDAiMYZZTgO7,https://api.spotify.com/v1/tracks/3PnOOmkxruDDAiMYZZTgO7,https://api.spotify.com/v1/audio-analysis/3PnOOmkxruDDAiMYZZTgO7,201939,4
496,0.795,0.969,8,-3.692,1,0.273,0.451,0.000356,0.0944,0.716,132.977,audio_features,6C3dzW9wasv9K0safs7NzT,spotify:track:6C3dzW9wasv9K0safs7NzT,https://api.spotify.com/v1/tracks/6C3dzW9wasv9K0safs7NzT,https://api.spotify.com/v1/audio-analysis/6C3dzW9wasv9K0safs7NzT,219000,4
497,0.684,0.793,9,-4.454,1,0.0945,0.208,0.0,0.0937,0.949,87.459,audio_features,2CwUBDVNKMtTSIWc7Jc4h7,spotify:track:2CwUBDVNKMtTSIWc7Jc4h7,https://api.spotify.com/v1/tracks/2CwUBDVNKMtTSIWc7Jc4h7,https://api.spotify.com/v1/audio-analysis/2CwUBDVNKMtTSIWc7Jc4h7,174347,4
498,0.73,0.454,9,-10.216,0,0.0504,0.901,0.00397,0.106,0.414,154.391,audio_features,5nYiTkI8wclEXBTagCGvSn,spotify:track:5nYiTkI8wclEXBTagCGvSn,https://api.spotify.com/v1/tracks/5nYiTkI8wclEXBTagCGvSn,https://api.spotify.com/v1/audio-analysis/5nYiTkI8wclEXBTagCGvSn,216271,4
499,0.516,0.676,2,-6.587,1,0.0315,0.167,1.7e-06,0.191,0.828,158.043,audio_features,3TnJ6YyqCdy1uszHcGJ0Qn,spotify:track:3TnJ6YyqCdy1uszHcGJ0Qn,https://api.spotify.com/v1/tracks/3TnJ6YyqCdy1uszHcGJ0Qn,https://api.spotify.com/v1/audio-analysis/3TnJ6YyqCdy1uszHcGJ0Qn,135000,4
500,0.545,0.28,4,-9.67,1,0.0305,0.651,3.76e-06,0.126,0.417,131.877,audio_features,2JDI1bO77h8qHKwNYs6MgY,spotify:track:2JDI1bO77h8qHKwNYs6MgY,https://api.spotify.com/v1/tracks/2JDI1bO77h8qHKwNYs6MgY,https://api.spotify.com/v1/audio-analysis/2JDI1bO77h8qHKwNYs6MgY,214733,4
501,0.761,0.371,4,-10.908,0,0.0403,0.892,0.853,0.0791,0.864,98.989,audio_features,08T5wMbEnPN8ghT8o24KY6,spotify:track:08T5wMbEnPN8ghT8o24KY6,https://api.spotify.com/v1/tracks/08T5wMbEnPN8ghT8o24KY6,https://api.spotify.com/v1/audio-analysis/08T5wMbEnPN8ghT8o24KY6,182933,3
