,Name,Score,Price,Pets,Link
288,Facade Hotel Amsterdam,7.6,€ 538,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html
289,PH Hotel de Entree,6.8,€ 176,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/amshofpark.en-gb.html
290,i hotel,7.1,€ 59,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/terminus.en-gb.html
291,Orange Tulip Hotel,6.2,€ 86,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html
292,Eden Studios and Apartments,8.2,€ 208,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html
293,CityHub Amsterdam,9.1,€ 85,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html
294,Hotel Pagi,7.6,€ 188,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html
295,Bastion Hotel Amsterdam Amstel,7.2,€ 133,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html
296,Greenstay,8.5,€ 98,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/jollycarlton.en-gb.html
297,Rembrandtplein Hotel,7.3,€ 154,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html
298,A-Train Hotel,8.6,€ 304,0,https://www.booking.com/hotel/nl/postillion-amsterdam-amsterdam.en-gb.html
299,Amistad hotel,8.7,€ 203,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/citadel.en-gb.html
300,Rembrandtplein Hotel,7.3,€ 154,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/victoria.en-gb.html
301,Hotel Imperial,8.5,€ 151,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html
302,A-Train Hotel,8.6,€ 304,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html
303,Amistad hotel,8.7,€ 203,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html
304,Mokum Suites,9.5,€ 136,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/olympic-amsterdam123.en-gb.html
305,ibis Styles Amsterdam Amstel,8.2,€ 109,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html
306,Amsterdam Nieuwmarkt Centrum Apartments,8.9,€ 324,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html
307,Campanile Hotel & Restaurant Amsterdam Zuid-Oost,7.8,€ 85,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/notting-hill.en-gb.html
308,Bastion Hotel Amsterdam Amstel,7.2,€ 133,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html
