,Name,Score,Price,Pets,Link
0,Lisboa Carmo Hotel,9.2,€ 85,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/lux-lisboa-park.en-gb.html
1,H10 Duque de Loule,9.0,€ 67,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/hotelmundial.en-gb.html
2,Hotel Mundial,8.4,€ 97,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/h10-duque-de-loule.en-gb.html
3,Iberostar Selection Lisboa,8.8,€ 144,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/corpo-santo.en-gb.html
4,Corpo Santo Lisbon Historical Hotel,9.5,€ 137,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/pt/the-one-palacio-da-anunciada.en-gb.html
5,Lux Lisboa Park,8.8,€ 95,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/lisbon-short-stay-apartments-baixa.en-gb.html
6,The One Palácio da Anunciada,-1,€ 666666,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/clarion-suites-lisboa.en-gb.html
7,Legendary Lisboa Suites,8.5,€ 78,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/portugal-boutique.en-gb.html
8,Tempo FLH Hotels Lisboa,9.2,€ 74,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/turim-boulevard.en-gb.html
9,Lisboa Pessoa Hotel,9.1,€ 99,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/da-baixa.en-gb.html
10,Empire Lisbon Hotel,8.5,€ 80,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/tempo-flh-hotels-lisboa.en-gb.html
11,BessaHotel Liberdade,9.1,€ 103,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/lisboa-pessoa.en-gb.html
12,Memmo Príncipe Real - Design Hotels,9.2,€ 176,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/porto-bay-liberdade.en-gb.html
13,Portugal Boutique Hotel,9.4,€ 112,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/iberostar-lisboa.en-gb.html
14,Hotel da Baixa,9.5,€ 98,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/pt/tvlisboalisboa.en-gb.html
15,Radisson Blu Hotel Lisbon,8.3,€ 102,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/rossio-garden.en-gb.html
16,Star inn Lisbon Airport,8.7,€ 78,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/torel-palace.en-gb.html
17,TRYP Lisboa Aeroporto Hotel,8.7,€ 113,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/jupiter-lisboa.en-gb.html
18,Upon Lisbon Prime Residences,8.9,€ 102,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/the-lumiares.en-gb.html
19,TURIM Boulevard Hotel,9.0,€ 114,"
Pets are not allowed.
",https://www.booking.com/hotel/pt/radisson-sas.en-gb.html
20,PortoBay Liberdade,8.9,€ 177,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/pt/tryp-lisboa-aeroporto.en-gb.html
