,Id,Name,Owner,Total_Tracks,Playlist_URL,Image_URL
19,0tiNVBKGtCjcH37FsQsaIg,EDITS,Josep Foradada,5,https://open.spotify.com/playlist/0tiNVBKGtCjcH37FsQsaIg,https://mosaic.scdn.co/640/0bed407280a6125be8774529d0bcab2b6cb73aaa14ab11968dfa183c2312a6cfb43480cee3bc4daaa07488d476d4e3e7e29a98eeb56a5caac0dd4b6ab91f80e3400afe3ac9ba2c20030a48824fd6ff91
20,41qf7DQAsri9nLj6pVWpOt,HITS,Josep Foradada,12,https://open.spotify.com/playlist/41qf7DQAsri9nLj6pVWpOt,https://mosaic.scdn.co/640/0296f1aa0f33e533fef7bc8548211ea24841325614ab11968dfa183c2312a6cfb43480cee3bc4daa331ae5663a127c8d989245a66446e1b8b669e47a4df2c4c3deb49d4c0b37434b8744087eaf749602
21,2SScimtgToL52F3sxoFIX6,Various Artists – Top 50 Acoustic Cover Hits,Josep Foradada,50,https://open.spotify.com/playlist/2SScimtgToL52F3sxoFIX6,https://i.scdn.co/image/4c8892b0d193354f03e1b31cef40c2be777423b4
22,1t4E2pmmUPII9lPWzYkLFU,New,Josep Foradada,3,https://open.spotify.com/playlist/1t4E2pmmUPII9lPWzYkLFU,https://i.scdn.co/image/475b9f8f450167dcf62cb83f77c967bf8d85fe83
23,5Z8VUi5qQUVkO1HzuZXUq9,Caravan Palace,Josep Foradada,29,https://open.spotify.com/playlist/5Z8VUi5qQUVkO1HzuZXUq9,https://i.scdn.co/image/6917af0c3b16f1ab644869e499984f1390ef32d4
24,0EwEbOTcoueyXQl1Et4Or6,London Philharmonic Orchestra – The 50 Greatest Pieces of Classical Music,Josep Foradada,50,https://open.spotify.com/playlist/0EwEbOTcoueyXQl1Et4Or6,https://i.scdn.co/image/a1f4e1838bab694cd26e487b2385117471856b2e
25,6NkUTDW3ONdztqUQs7YeNM,Feel This Moment,Josep Foradada,1,https://open.spotify.com/playlist/6NkUTDW3ONdztqUQs7YeNM,https://i.scdn.co/image/3edb3f970f4a3af9ef922efd18cdb4dabaf85ced
26,5bI2Q0cfKkAtsuSt9jUeZc,Blaumut - El Turista,Josep Foradada,12,https://open.spotify.com/playlist/5bI2Q0cfKkAtsuSt9jUeZc,https://i.scdn.co/image/78f9b2db67fea5eb047c281b95133c9536f4864d
27,6Vc5br1vN5YUwjGd6FxIMp,Nyandú - L'origen de les absències,Josep Foradada,12,https://open.spotify.com/playlist/6Vc5br1vN5YUwjGd6FxIMp,https://i.scdn.co/image/d93fae77a26ae029869b1ca8935087bf77ac6d08
28,1wrqSkZXURdcTk0X4BO0bP,The Free Fall Band – Elephants Never Forget,Josep Foradada,10,https://open.spotify.com/playlist/1wrqSkZXURdcTk0X4BO0bP,https://i.scdn.co/image/8c72bdda7c07e83c090f7647c74fd5d7991fe7d8
29,2VW0MLYsZGkVE101NEyrdc,Manos de Topo,Josep Foradada,33,https://open.spotify.com/playlist/2VW0MLYsZGkVE101NEyrdc,https://i.scdn.co/image/0ce57b39405c594141412a1284eaa7d4bd0fd208
30,6S6YOHxtlap5BcYdl8MSZn,La Pegatina – Xapomelön,Josep Foradada,21,https://open.spotify.com/playlist/6S6YOHxtlap5BcYdl8MSZn,https://i.scdn.co/image/5221fcc70a876f402cb149d9820ac670d582c31a
31,5arziQ4hgOyxgWqNikNVvO,"iaia, 4t1a i roger margarit",Josep Foradada,36,https://open.spotify.com/playlist/5arziQ4hgOyxgWqNikNVvO,https://i.scdn.co/image/863e332f34c36783b6eacc384bcc4a599808a06e
32,2DM514FHHlHf64BLAzoIWe,Si de nit,Josep Foradada,1,https://open.spotify.com/playlist/2DM514FHHlHf64BLAzoIWe,https://i.scdn.co/image/5221fcc70a876f402cb149d9820ac670d582c31a
33,0Kz18Qq6boSucTkU8R2aaF,Nerken's Hits,Josep Foradada,459,https://open.spotify.com/playlist/0Kz18Qq6boSucTkU8R2aaF,https://mosaic.scdn.co/640/3d7b7545a896adc90ba3926be09d4cd3858c7bcb4862a7168866cfd07a288e110f034381a2258035ca8162e8245bd9f949c8d6b1cd929e43f6866f41d22f771696d9329e44d3d4a48e9b5fdc276941ec
34,7vHRwRtvmggt50qUnnHeaD,Catalana,Josep Foradada,94,https://open.spotify.com/playlist/7vHRwRtvmggt50qUnnHeaD,https://mosaic.scdn.co/640/06dc8e7b1086354c16ccadab327526a7c91b475b2e1dc918650e89f3d949fea512d3191b3524586e899b2f5a7a8311e5669b5b8d115b4e79df26851bc30b893e0a37566640baa38669312bb980b216cb
35,5aMcG4sVMmkV1u3YC63hMQ,Spanish,Josep Foradada,69,https://open.spotify.com/playlist/5aMcG4sVMmkV1u3YC63hMQ,https://mosaic.scdn.co/640/4c72e665364e8b7254934a41e451f3fb7817943a753b57ab7d7b804d27efcb8de69c1adb0728112388207d358b27ebcf6415d30c36a1b8be7362d0f1bac22ba0bc7b6023ee9ef8db5f3c86ee44f3aa99
36,2jig3jDOLAamg7rauyYbsW,Various Artists [Artist] – 100 Classical Favourites,Josep Foradada,200,https://open.spotify.com/playlist/2jig3jDOLAamg7rauyYbsW,https://i.scdn.co/image/0a66cdf0df03ab8694db3eac338222a31b2bd25e
37,3hS8GwHWUUGI9bMAeLlzLh,Mine – Un brindis pel nen androide,Josep Foradada,12,https://open.spotify.com/playlist/3hS8GwHWUUGI9bMAeLlzLh,https://i.scdn.co/image/51b39c71fc9983e56b9eafc37e7da3714144d64b
38,2wZ4hdXDK7A4PWxvdWZaAs,Various Artists – 100 Best Opera Classics,Josep Foradada,100,https://open.spotify.com/playlist/2wZ4hdXDK7A4PWxvdWZaAs,https://i.scdn.co/image/3bbf42355ad95fa9ba154a62f9e46509b1736dcc
39,26yOZG9EufjUlGvl9zE1Fv,Running,Josep Foradada,3,https://open.spotify.com/playlist/26yOZG9EufjUlGvl9zE1Fv,https://i.scdn.co/image/88829486f1c44a6b7f97399b9ce359518cfc6120
40,7LqEvFlU62PeN9Ey2GFQ1a,17 Hippies – El Dorado,Josep Foradada,12,https://open.spotify.com/playlist/7LqEvFlU62PeN9Ey2GFQ1a,https://i.scdn.co/image/b31fde37d22c06720143e0ed19b510d1117bf402
41,5LR210vwhwJxrJWBGxTzMh,The BEST BRITISH songs of all time,Josep Foradada,101,https://open.spotify.com/playlist/5LR210vwhwJxrJWBGxTzMh,https://mosaic.scdn.co/640/7fcd391dcc5d6f408416b29a1f1845f0edf0f10a83085baf4b6f6cedc2e226d3e7e7e0d2851ed8549b369f97ae9c6f2492ba3238b641c80805ae1281abf2f2cbeff74c913790dcebe02fdf17b230b5e3
42,7AbQaavvwWs13zH2XMxUrZ,Volbeat – Live From Beyond Hell / Above Heaven,Josep Foradada,19,https://open.spotify.com/playlist/7AbQaavvwWs13zH2XMxUrZ,https://i.scdn.co/image/62006ee56c1e95b32e5702a33b4da7491701764a
43,5FAkbyeCqjinjYqfbERDYa,Elektro,Josep Foradada,11,https://open.spotify.com/playlist/5FAkbyeCqjinjYqfbERDYa,https://mosaic.scdn.co/640/03e38e559265dd39eee574f9c9756e9ed182fe6b1cb772d5f25d1689a27d507f92f6eed3945dd7af3f402c067ec15f373e88e4ef642867e51f6bef7b973b0b88824e0ba07338ad49a1d237d433d64f12
