,Id,Name,Playlist_Id,Album_Id,Date_added,Duration,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Mode,Track_Number
0,3wD62ofDBqgeJSW2u7WKil,Ragtime Cat (feat. Lilja Bloom),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,181000.0,21.0,0.736,0.715,-4.114,0.0412,0.012,0.000796,0.218,0.851,119.976,5,0,1.0
1,14EeHJP2ZhOqabZgCAF27r,Artichaut,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,265093.0,0.0,0.695,0.879,-5.655,0.16,0.223,0.197,0.6890000000000001,0.91,203.886,4,1,2.0
2,4iGiK3PUx1r9G6N3vkQERe,Extra Mile,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,305280.0,0.0,0.69,0.722,-5.898,0.261,0.268,0.000529,0.935,0.6609999999999999,175.889,0,1,3.0
3,2KTHFxwHv1eUUALTx7uBei,AAA (Triple A),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,204026.0,15.0,0.6709999999999999,0.8059999999999999,-5.6320000000000014,0.0777,0.0564,3.42e-06,0.7390000000000001,0.8690000000000001,129.98,7,1,4.0
4,2I13jeL6QfdArAhpqUzFSr,The Sound of Swing (Onur Engin Edit) [feat. Aloe Blacc],3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,341493.0,13.0,0.544,0.815,-4.5539999999999985,0.0772,0.00851,1.67e-05,0.16899999999999998,0.7440000000000001,90.015,7,1,5.0
5,2sm8jAsyuyoX45ytlnyBLj,No Diggity (Minimatic Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,212320.0,19.0,0.855,0.698,-6.697,0.06,0.0563,0.0638,0.075,0.6809999999999999,116.043,11,0,6.0
6,0x9zhyDsfltieIXYUv1XRg,Gangsterlove (Soundnomaden Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,253733.0,0.0,0.7979999999999999,0.794,-5.287000000000001,0.0711,0.257,0.0,0.0872,0.772,123.987,5,0,7.0
7,6cM9Wxrwik0TipzJPcZLG7,Swing You Winners (feat. Tape Five),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,164080.0,12.0,0.669,0.7709999999999999,-5.2860000000000005,0.191,0.00897,6.1e-05,0.275,0.5920000000000001,169.916,7,1,8.0
8,4mpyBYJzpieMYwvtnnlzlY,Shadrack (Fonograff Rework),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,228693.0,20.0,0.88,0.87,-5.851,0.32,0.279,0.0008060000000000001,0.116,0.743,115.056,5,0,9.0
9,1Z0UlpDHhTmRRF2p5aZPa7,Vive le swing (Gabin Brassy Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,266133.0,0.0,0.7859999999999999,0.831,-5.62,0.12,0.0724,0.0,0.853,0.799,117.964,10,0,10.0
10,4qMiPy59oppfr8sFa6eurf,Pain Is Temporary (Swing Mix) [feat. Ferank Manseed],3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,281893.0,0.0,0.6609999999999999,0.645,-6.724,0.123,0.394,0.00952,0.0799,0.639,167.977,5,1,11.0
11,6xnxwjEkNevVoyU7ZfqU0j,Evening,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,225506.0,10.0,0.637,0.6779999999999999,-5.714,0.0446,0.0176,0.000305,0.116,0.731,103.578,8,1,12.0
12,0bEWTrXTLwoqm4LLHxYzvA,Geraldines Routine,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,190533.0,0.0,0.813,0.731,-5.645,0.106,0.16,0.0,0.0635,0.828,119.04,10,1,13.0
13,63lZp8cz2HeqafVAkGKvbz,Make My Music,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,321093.0,9.0,0.952,0.605,-6.767,0.28800000000000003,0.0151,0.41,0.625,0.5660000000000001,130.024,2,1,14.0
14,6tAcwhl5cTJOEiEdHc9Ra8,Didn't It Rain (Minimatic Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,291013.0,0.0,0.78,0.898,-6.223,0.0979,0.0462,0.0616,0.657,0.8190000000000001,99.983,11,0,15.0
15,6owr04PEXSTPfzhtmcZJab,Ballroom Breakers (Dunkelbunt Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,211333.0,0.0,0.738,0.8759999999999999,-5.443,0.116,0.172,0.00203,0.0689,0.451,99.001,9,1,16.0
16,1TVWXQf6DjEErxfwLYvojL,Fleur de Lille,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,316080.0,10.0,0.672,0.705,-7.939,0.0295,0.00674,0.754,0.0279,0.54,127.987,9,0,17.0
17,3L1NnDHRsFkjcqWPCC3kFH,Madame Coquette (Aerophon Mix) [feat. Yuliet Topaz],3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,212946.0,0.0,0.727,0.946,-5.9129999999999985,0.117,0.055,0.0,0.302,0.789,127.083,5,0,18.0
18,7GbYFBhwXBjKNGzvShY4G7,Nine to Five,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,224493.0,11.0,0.89,0.679,-6.972,0.0398,0.491,0.0004969999999999999,0.124,0.924,116.027,0,1,19.0
19,0hOM3vAnyRpmn274DdNUEF,Ordinary Man,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,217093.0,0.0,0.63,0.7709999999999999,-5.857,0.0718,0.00485,0.451,0.269,0.589,83.973,6,1,20.0
20,2usdkZLreKqMXMOTtdYJ4W,Crazy in Love,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,236280.0,12.0,0.599,0.759,-5.7010000000000005,0.309,0.406,0.0,0.034,0.904,202.387,0,1,21.0
21,28GYn2KBUeUPpuW95jYFxl,Ginger Bread Man,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,232760.0,10.0,0.667,0.913,-6.0710000000000015,0.0992,0.0314,0.284,0.0872,0.588,122.956,6,0,22.0
22,6JofwMtPyY9bC6rnuYz0Jq,Woody Woody,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,190346.0,9.0,0.7090000000000001,0.775,-6.926,0.192,0.389,0.0,0.329,0.501,76.984,5,0,23.0
23,7zzl0HGwdjHV6QCvVcbl0n,Faux Cul (feat. Lamuzgueule),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,266293.0,13.0,0.7020000000000001,0.8,-7.009,0.252,0.0686,0.0,0.242,0.7979999999999999,107.556,11,0,24.0
24,0jNJ5ySN1U6k2tTsGEDNIH,Brown Sugar (Minimatic Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,212093.0,9.0,0.5870000000000001,0.731,-8.427999999999999,0.203,0.141,0.000101,0.369,0.8290000000000001,79.648,10,0,25.0
25,6fohtovAqz4S5ktOxs27uc,Busy Line,3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,254346.0,0.0,0.92,0.763,-8.371,0.245,0.0127,0.0729,0.0814,0.967,124.994,1,1,26.0
26,6fczHcaWu4h7UYLQTXL6w8,Is That Too Much to Ask (feat. Nina Zeitlin),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,210466.0,38.0,0.964,0.522,-5.3820000000000014,0.136,0.0249,0.175,0.0429,0.7090000000000001,126.024,2,1,27.0
27,7GkoQI6K9pdImdI1hK3b1f,Madame (Parov Stelar Remix),3ypuzkCtKGOQ0Y63x295Jx,5VOdrHq3pi0FTHQZtBaj7V,2018-10-24T14:52:55Z,272626.0,9.0,0.7390000000000001,0.62,-7.747999999999998,0.0635,0.00614,0.812,0.0989,0.731,128.016,2,1,28.0
