,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
54,0.591,0.855,4,-5.664,1,0.0391,0.0302,0.0,0.478,0.213,115.161,audio_features,3tLCXNyQ0lcZ2gg3f5YOqi,spotify:track:3tLCXNyQ0lcZ2gg3f5YOqi,https://api.spotify.com/v1/tracks/3tLCXNyQ0lcZ2gg3f5YOqi,https://api.spotify.com/v1/audio-analysis/3tLCXNyQ0lcZ2gg3f5YOqi,216000,4
55,0.331,0.837,11,-2.817,0,0.0434,0.201,0.00862,0.0993,0.512,153.158,audio_features,4x1cANlR5AQ3mqct1SAlsN,spotify:track:4x1cANlR5AQ3mqct1SAlsN,https://api.spotify.com/v1/tracks/4x1cANlR5AQ3mqct1SAlsN,https://api.spotify.com/v1/audio-analysis/4x1cANlR5AQ3mqct1SAlsN,173733,4
56,0.546,0.865,4,-6.319,1,0.0378,0.0491,3.29e-05,0.21,0.688,120.021,audio_features,7zjSfWOaECWD2ZkmynZ3zL,spotify:track:7zjSfWOaECWD2ZkmynZ3zL,https://api.spotify.com/v1/tracks/7zjSfWOaECWD2ZkmynZ3zL,https://api.spotify.com/v1/audio-analysis/7zjSfWOaECWD2ZkmynZ3zL,189844,4
57,0.374,0.667,4,-6.956,0,0.031,0.503,0.0318,0.0852,0.36,132.425,audio_features,4JiZgVh2mBkdI3IRE4fWsv,spotify:track:4JiZgVh2mBkdI3IRE4fWsv,https://api.spotify.com/v1/tracks/4JiZgVh2mBkdI3IRE4fWsv,https://api.spotify.com/v1/audio-analysis/4JiZgVh2mBkdI3IRE4fWsv,167903,4
58,0.314,0.453,4,-6.514,1,0.0285,0.362,1.62e-06,0.109,0.619,82.679,audio_features,1dYRr2aLAQPJqS5Li8ovUe,spotify:track:1dYRr2aLAQPJqS5Li8ovUe,https://api.spotify.com/v1/tracks/1dYRr2aLAQPJqS5Li8ovUe,https://api.spotify.com/v1/audio-analysis/1dYRr2aLAQPJqS5Li8ovUe,212662,4
59,0.484,0.54,4,-4.57,0,0.0667,0.55,0.00119,0.127,0.699,154.377,audio_features,39JwounfrwdGe1BeQu9P3Q,spotify:track:39JwounfrwdGe1BeQu9P3Q,https://api.spotify.com/v1/tracks/39JwounfrwdGe1BeQu9P3Q,https://api.spotify.com/v1/audio-analysis/39JwounfrwdGe1BeQu9P3Q,186280,4
60,0.479,0.524,0,-8.74,0,0.028,0.158,0.5,0.112,0.273,102.021,audio_features,7bPshMwhETgZrLonmU6hA6,spotify:track:7bPshMwhETgZrLonmU6hA6,https://api.spotify.com/v1/tracks/7bPshMwhETgZrLonmU6hA6,https://api.spotify.com/v1/audio-analysis/7bPshMwhETgZrLonmU6hA6,208014,3
61,0.725,0.725,11,-4.881,1,0.0278,0.232,0.0,0.105,0.494,131.989,audio_features,72S6UNewVaLv3XqdcZ5J4L,spotify:track:72S6UNewVaLv3XqdcZ5J4L,https://api.spotify.com/v1/tracks/72S6UNewVaLv3XqdcZ5J4L,https://api.spotify.com/v1/audio-analysis/72S6UNewVaLv3XqdcZ5J4L,275640,4
62,0.55,0.761,0,-2.819,1,0.0303,0.0201,0.0,0.0948,0.402,134.013,audio_features,72wP8pJImrhxGA6f6F91gk,spotify:track:72wP8pJImrhxGA6f6F91gk,https://api.spotify.com/v1/tracks/72wP8pJImrhxGA6f6F91gk,https://api.spotify.com/v1/audio-analysis/72wP8pJImrhxGA6f6F91gk,213080,4
63,0.652,0.781,7,-4.965,1,0.0262,0.186,0.0022,0.153,0.571,129.007,audio_features,5cvGhpjH7NPeKpgHNeBnHW,spotify:track:5cvGhpjH7NPeKpgHNeBnHW,https://api.spotify.com/v1/tracks/5cvGhpjH7NPeKpgHNeBnHW,https://api.spotify.com/v1/audio-analysis/5cvGhpjH7NPeKpgHNeBnHW,235600,4
