,Id,Name,Playlist_Id,Album_Id,Date_added,Duration,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Mode,Track_Number,Unnamed: 0,added_at,track.album.album_type,track.album.artists,track.album.available_markets,track.album.external_urls.spotify,track.album.href,track.album.id,track.album.images,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.artists,track.available_markets,track.disc_number,track.duration_ms,track.explicit,track.external_ids.isrc,track.external_urls.spotify,track.href,track.id,track.is_local,track.name,track.popularity,track.preview_url,track.track_number,track.type,track.uri,tracks_features.danceability,tracks_features.energy,tracks_features.key,tracks_features.loudness,tracks_features.mode,tracks_features.speechiness,tracks_features.acousticness,tracks_features.instrumentalness,tracks_features.liveness,tracks_features.valence,tracks_features.tempo,tracks_features.type,tracks_features.id,tracks_features.uri,tracks_features.track_href,tracks_features.analysis_url,tracks_features.duration_ms,tracks_features.time_signature,C1,C2,C3,cluster,distance_cluster
541,52GstNfYE0VLSqUGfaefLD,Sofa,5Z8VUi5qQUVkO1HzuZXUq9,0AQU2cTRwdbTHkkJLmZZpG,2013-11-20T11:36:51Z,50782.0,26.0,0.461,0.6659999999999999,-6.228,0.0308,0.000174,0.628,0.693,0.657,78.112,5,0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9672466559635439,2.22724760895218,-1.5869410203472598,4,1.3476703088820057
544,7pPi2lf9n8AEXJlx8AywA2,We Can Dance,5Z8VUi5qQUVkO1HzuZXUq9,0AQU2cTRwdbTHkkJLmZZpG,2013-11-20T11:36:51Z,262791.0,29.0,0.653,0.792,-4.387,0.10099999999999999,0.0958,0.0,0.606,0.5820000000000001,117.978,2,1,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.281933570289736,1.9341613810058225,-0.5390909754827171,4,1.6074419781933083
743,6il4ds0ZKYdRVnZHpVXk41,All I Want,0Kz18Qq6boSucTkU8R2aaF,1VjxGLvRuhTF6ebqWXYOrO,1970-01-01T00:00:00Z,113475.0,1.0,0.20600000000000002,0.977,-3.403,0.135,0.00878,0.0,0.657,0.5820000000000001,173.13400000000001,6,0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1216710411310444,3.1420705483492437,-1.2937198568357327,4,0.4940688579481794
749,33MxZySx17wtJmXUeQwrdG,"Message In A Bottle - Live From River Plate Stadium, Buenos Aires",0Kz18Qq6boSucTkU8R2aaF,4V8Qkhow9Vy8CKJZ1M5Rpd,1970-01-01T00:00:00Z,300106.0,0.0,0.319,0.972,-3.9330000000000003,0.195,0.013999999999999999,1.83e-06,0.9740000000000001,0.33299999999999996,155.194,9,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6700884569518464,4.951965351079295,-0.9291088377029719,4,1.951286501899677
750,0A4Btqar6Y5B4hfs9pZnSE,"Every Breath You Take - Live From River Plate Stadium, Buenos Aires",0Kz18Qq6boSucTkU8R2aaF,4V8Qkhow9Vy8CKJZ1M5Rpd,1970-01-01T00:00:00Z,373573.0,0.0,0.568,0.877,-5.8210000000000015,0.105,0.165,2.3e-06,0.912,0.33,118.84,8,1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3401037098941417,3.6038942788667825,-1.2732498299285107,4,0.748007265030426
769,0lvqn48qvEJHI2gRvziibg,"Close To Me - Live At Zenith, Paris",0Kz18Qq6boSucTkU8R2aaF,2na3vPdnhVASki4NAyV6ja,1970-01-01T00:00:00Z,238266.0,22.0,0.535,0.638,-14.985,0.0355,0.0332,0.447,0.991,0.899,170.607,11,1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8341320502828017,3.653438827205971,-1.9326392117422522,4,1.2023833455630952
783,0zge3Oe6qU1jnvSgxDRQYU,The Joker,0Kz18Qq6boSucTkU8R2aaF,7kASxXIWWMoaHHS637Vome,1970-01-01T00:00:00Z,213480.0,51.0,0.415,0.551,-7.067,0.0821,0.4270000000000001,1.88e-06,0.5720000000000001,0.74,166.736,10,1,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8055675435207631,2.061444499488213,-1.0036210249717339,4,1.5105918202812054
784,4Y6VzrcqjvRwD1wdBGFqaa,Paper Planes (Diplo Street Remix feat. Bun B & Rich Boy),0Kz18Qq6boSucTkU8R2aaF,3Q4AExMfGDlydTUPWiCOiK,1970-01-01T00:00:00Z,225440.0,34.0,0.369,0.8590000000000001,-5.739,0.316,0.0174,1.91e-06,0.711,0.431,85.48100000000002,2,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.567247951931555,4.551439822309161,1.2741576871492992,4,2.876465228128033
815,29njOUf53Vc91WEeya44vO,Paint It Black - Live,0Kz18Qq6boSucTkU8R2aaF,5Lg8Jhz5OzfdmG4mQlFFes,1970-01-01T00:00:00Z,241250.0,0.0,0.28300000000000003,0.9279999999999999,-7.544,0.0726,0.0143,0.7909999999999999,0.985,0.375,160.65,9,0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1633389722507483,4.303638034238865,-1.9998708341867297,4,1.416848565291
840,2dew46lc6JauQzhj6WQ2xa,Let's Twist Again,0Kz18Qq6boSucTkU8R2aaF,3ADzle3KinwX1czwEVAOGv,2010-05-18T09:41:25Z,139333.0,0.0,0.371,0.857,-8.866,0.142,0.135,8.09e-05,0.6759999999999999,0.715,178.045,4,1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.714547279682595,3.0989827395284473,-0.7282215645456884,4,0.4657838895159493
