,collaborative,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
10,False,https://api.spotify.com/v1/playlists/7sKPU13AfyV0yN60OYFELl,7sKPU13AfyV0yN60OYFELl,"[{'height': 640, 'url': 'https://i.scdn.co/image/c3b5d941b9b903a62b9ce015ae73a61f0cd5ae33', 'width': 640}]",Lang Lang – The 50 Greatest Piano Pieces by Lang Lang,,True,MyxmYTFlZjdmODVmYzkxMWE3NGZiNWRjODI0OThjZTZlYTAwYmNkN2Uz,playlist,spotify:playlist:7sKPU13AfyV0yN60OYFELl,https://open.spotify.com/playlist/7sKPU13AfyV0yN60OYFELl,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/7sKPU13AfyV0yN60OYFELl/tracks,50
11,False,https://api.spotify.com/v1/playlists/7bsAR19p7zO45OpIpiCqQB,7bsAR19p7zO45OpIpiCqQB,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/a7f695beb4ef6ab2b472e2806941fa60f48adb20cac606b457b735020197917126ab1693850b25f2ce15a6abf9b12157624a8fdc54fb4509a25b9049d9e35e7ffeede8fd7047376b10b0b7c7dc06ee6f', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/a7f695beb4ef6ab2b472e2806941fa60f48adb20cac606b457b735020197917126ab1693850b25f2ce15a6abf9b12157624a8fdc54fb4509a25b9049d9e35e7ffeede8fd7047376b10b0b7c7dc06ee6f', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/a7f695beb4ef6ab2b472e2806941fa60f48adb20cac606b457b735020197917126ab1693850b25f2ce15a6abf9b12157624a8fdc54fb4509a25b9049d9e35e7ffeede8fd7047376b10b0b7c7dc06ee6f', 'width': 60}]",50's,,True,MjYsZWE1ZjdjODIwZjA3Nzg3NmU1ZDRkNWYwNmMxZGQwNGM2OWJlZTY3NA==,playlist,spotify:playlist:7bsAR19p7zO45OpIpiCqQB,https://open.spotify.com/playlist/7bsAR19p7zO45OpIpiCqQB,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/7bsAR19p7zO45OpIpiCqQB/tracks,22
12,False,https://api.spotify.com/v1/playlists/0K6zEWxGiCGZLejWC5RjLh,0K6zEWxGiCGZLejWC5RjLh,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/42b5ca946ea6f72de75263476f66ec6721c5849d5db2adec61e4056714676a11bb8972beef80e857720317b1e5650cd4cea879314c4c77082d6f73e28fd92b53bf323a128bc046aaf3b14bc50561ff43', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/42b5ca946ea6f72de75263476f66ec6721c5849d5db2adec61e4056714676a11bb8972beef80e857720317b1e5650cd4cea879314c4c77082d6f73e28fd92b53bf323a128bc046aaf3b14bc50561ff43', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/42b5ca946ea6f72de75263476f66ec6721c5849d5db2adec61e4056714676a11bb8972beef80e857720317b1e5650cd4cea879314c4c77082d6f73e28fd92b53bf323a128bc046aaf3b14bc50561ff43', 'width': 60}]",Favoritos,,False,MyxiZDIzZDI4MmRlMGEyOTA3OTc5MTRiYjdmYjM3ZDQ4N2NmZDU5ZGI1,playlist,spotify:playlist:0K6zEWxGiCGZLejWC5RjLh,https://open.spotify.com/playlist/0K6zEWxGiCGZLejWC5RjLh,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/0K6zEWxGiCGZLejWC5RjLh/tracks,9
13,False,https://api.spotify.com/v1/playlists/3fFvSuiHKyiNHj4myybmRM,3fFvSuiHKyiNHj4myybmRM,"[{'height': 640, 'url': 'https://i.scdn.co/image/fb96919dbe6b3096a130e0cfb82b824f284fee0b', 'width': 640}]",Classica Josep,,True,NSw0NjE1ZjFlOThhOTIyMmZiYTg4ZWZmYTc5OTVkMDlmM2Y2MmU4ZDgz,playlist,spotify:playlist:3fFvSuiHKyiNHj4myybmRM,https://open.spotify.com/playlist/3fFvSuiHKyiNHj4myybmRM,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/3fFvSuiHKyiNHj4myybmRM/tracks,2
14,False,https://api.spotify.com/v1/playlists/6rcoq12RiupfqlzZK8rEX5,6rcoq12RiupfqlzZK8rEX5,"[{'height': 640, 'url': 'https://i.scdn.co/image/b69ca31c04a10785d9285923f21de8cdfd4a8fc9', 'width': 640}]",The Crab Apples – Right Here,,True,Myw1ZjRhMDBkMzkwNGQ3MTg1MTk3NmFiYTk2MTQwM2JkM2ZiMmE4NmE1,playlist,spotify:playlist:6rcoq12RiupfqlzZK8rEX5,https://open.spotify.com/playlist/6rcoq12RiupfqlzZK8rEX5,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/6rcoq12RiupfqlzZK8rEX5/tracks,14
15,False,https://api.spotify.com/v1/playlists/64JY1fITMumLMHvbjyhYHS,64JY1fITMumLMHvbjyhYHS,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/6448c99fb14812207080d9db8c0434fbbdbf5b3175e18381e088b8f80080b2cdc7e4cf86344b54bf7934d9d3b40817ca7bd4130b67049e4ebbd43ed9dc882634bbf467e86fe2841d16c98bf718e0a793', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/6448c99fb14812207080d9db8c0434fbbdbf5b3175e18381e088b8f80080b2cdc7e4cf86344b54bf7934d9d3b40817ca7bd4130b67049e4ebbd43ed9dc882634bbf467e86fe2841d16c98bf718e0a793', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/6448c99fb14812207080d9db8c0434fbbdbf5b3175e18381e088b8f80080b2cdc7e4cf86344b54bf7934d9d3b40817ca7bd4130b67049e4ebbd43ed9dc882634bbf467e86fe2841d16c98bf718e0a793', 'width': 60}]",Bon rotllo,,True,MjAsMmQwZjQzMTM3YWQ2MWZjNGY1OWE0YmQyNmUyZTA5ZmEwMDgzYTcyNQ==,playlist,spotify:playlist:64JY1fITMumLMHvbjyhYHS,https://open.spotify.com/playlist/64JY1fITMumLMHvbjyhYHS,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/64JY1fITMumLMHvbjyhYHS/tracks,15
16,False,https://api.spotify.com/v1/playlists/6F0bDRMilmN0VdkEtsS0Cz,6F0bDRMilmN0VdkEtsS0Cz,"[{'height': 640, 'url': 'https://i.scdn.co/image/39ddc16036c1b1307103c033e193c1aa8c85f4d5', 'width': 640}]",Various Artists – Summer Jazz,,True,MyxmNTU0MTBlZWQzNGIzZGE1NjJmNTYwODE2N2VhMmMxYzAwYTRiYWM1,playlist,spotify:playlist:6F0bDRMilmN0VdkEtsS0Cz,https://open.spotify.com/playlist/6F0bDRMilmN0VdkEtsS0Cz,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/6F0bDRMilmN0VdkEtsS0Cz/tracks,19
17,False,https://api.spotify.com/v1/playlists/4YMWrJrGAyW04sfFwE3sc4,4YMWrJrGAyW04sfFwE3sc4,"[{'height': 640, 'url': 'https://i.scdn.co/image/d21f7e4d4ce41022636b1725322bda1c9c3307df', 'width': 640}]",Lisa Ekdahl,,True,MywxYmI4ZjcxZmZkNTJlYmI5YTQxNTE3M2VjNzQwMzQ5YzY2ZDg0NWM3,playlist,spotify:playlist:4YMWrJrGAyW04sfFwE3sc4,https://open.spotify.com/playlist/4YMWrJrGAyW04sfFwE3sc4,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/4YMWrJrGAyW04sfFwE3sc4/tracks,10
18,False,https://api.spotify.com/v1/playlists/7EHzH8D5Fv7EWf76tDTSvH,7EHzH8D5Fv7EWf76tDTSvH,"[{'height': 640, 'url': 'https://i.scdn.co/image/75e18381e088b8f80080b2cdc7e4cf86344b54bf', 'width': 640}]",Stromae,,True,NCwyYjE2ODcxMGI5MzRiYTUzMDY0NDU3YzBmZjhkZTdiNjAxNmMyNzU1,playlist,spotify:playlist:7EHzH8D5Fv7EWf76tDTSvH,https://open.spotify.com/playlist/7EHzH8D5Fv7EWf76tDTSvH,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/7EHzH8D5Fv7EWf76tDTSvH/tracks,25
19,False,https://api.spotify.com/v1/playlists/0tiNVBKGtCjcH37FsQsaIg,0tiNVBKGtCjcH37FsQsaIg,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/0bed407280a6125be8774529d0bcab2b6cb73aaa14ab11968dfa183c2312a6cfb43480cee3bc4daaa07488d476d4e3e7e29a98eeb56a5caac0dd4b6ab91f80e3400afe3ac9ba2c20030a48824fd6ff91', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/0bed407280a6125be8774529d0bcab2b6cb73aaa14ab11968dfa183c2312a6cfb43480cee3bc4daaa07488d476d4e3e7e29a98eeb56a5caac0dd4b6ab91f80e3400afe3ac9ba2c20030a48824fd6ff91', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/0bed407280a6125be8774529d0bcab2b6cb73aaa14ab11968dfa183c2312a6cfb43480cee3bc4daaa07488d476d4e3e7e29a98eeb56a5caac0dd4b6ab91f80e3400afe3ac9ba2c20030a48824fd6ff91', 'width': 60}]",EDITS,,True,Nyw4Mjg1NzBiZjM2NWM5ZjUzYTYyM2JmNzU1MjUwMDAwZmE3MDY5Yzk0,playlist,spotify:playlist:0tiNVBKGtCjcH37FsQsaIg,https://open.spotify.com/playlist/0tiNVBKGtCjcH37FsQsaIg,Josep Foradada,https://open.spotify.com/user/nerken,https://api.spotify.com/v1/users/nerken,nerken,user,spotify:user:nerken,https://api.spotify.com/v1/playlists/0tiNVBKGtCjcH37FsQsaIg/tracks,5
