text,retweets,replies,tweet_interactions
15,1524,1191,2715
5,39317,2578,41895
5,268,239,507
6,177787,8440,186227
21,99189,15023,114212
2,292,246,538
3,2065,407,2472
9,6560,2261,8821
7,16583,3862,20445
14,19589,5286,24875
21,33520,5828,39348
1,1912,649,2561
1,211,243,454
5,401,530,931
5,51150,3031,54181
2,62,78,140
5,2074,1080,3154
32,107448,13534,120982
2,4018,1276,5294
7,1286,1004,2290
8,24776,4752,29528
5,452,301,753
27,8372,4788,13160
6,24948,3846,28794
6,3066,1910,4976
1,20,52,72
2,20837,2145,22982
13,32516,5111,37627
9,37507,11491,48998
6,18036,8771,26807
19,39685,15616,55301
3,5110,3384,8494
16,8038,6210,14248
2,311,280,591
1,301,146,447
15,7078,3664,10742
1,41,76,117
6,5730,2286,8016
13,18913,6317,25230
10,5288,3255,8543
3,246,228,474
7,58659,3154,61813
6,1441,1657,3098
5,5073,1887,6960
9,21049,7080,28129
7,839,818,1657
23,41134,4976,46110
2,391,514,905
22,20732,7042,27774
14,3311,1711,5022
11,63708,4388,68096
17,7710,5131,12841
6,2014,1242,3256
16,2993,2213,5206
9,2124,2058,4182
7,510,637,1147
21,15361,3844,19205
10,15681,2892,18573
10,5532,1783,7315
3,2412,696,3108
6,536,515,1051
13,11492,2776,14268
8,6733,2768,9501
18,60610,3429,64039
3,680,322,1002
24,29895,9040,38935
15,36918,9891,46809
5,27587,3922,31509
1,52,125,177
2,210,250,460
17,8611,2954,11565
8,2576,1868,4444
4,849,1117,1966
6,4109,1659,5768
5,302,390,692
8,6441,6624,13065
9,14413,3823,18236
6,2012,972,2984
26,65533,18011,83544
7,3511,1663,5174
1,183,318,501
23,13408,6090,19498
11,88605,13339,101944
27,3890,2147,6037
7,32586,6211,38797
3,3019,1181,4200
5,7324,8269,15593
3,3038,1889,4927
5,40371,8949,49320
5,8387,3254,11641
11,75950,5281,81231
10,30603,9163,39766
4,47815,3885,51700
2,4945,2502,7447
17,19454,5826,25280
1,59658,4111,63769
15,77016,6822,83838
2,513,368,881
2,5835,1569,7404
4,4233,1708,5941
5,930,678,1608
9,9259,3432,12691
11,2591,1205,3796
9,5693,2094,7787
2,359,324,683
4,366,446,812
1,6504,1101,7605
3,7854,3557,11411
4,2202,1016,3218
9,2494,2168,4662
3,10853,1691,12544
3,6284,2239,8523
5,1904,860,2764
9,12259,7000,19259
3,1237,1057,2294
7,19217,5793,25010
10,69008,28903,97911
13,80335,23267,103602
22,163946,30788,194734
5,21184,10616,31800
3,848,764,1612
7,37938,6779,44717
1,383,186,569
12,27291,18773,46064
2,58042,10971,69013
4,619,700,1319
1,2271,738,3009
13,47218,13550,60768
1,661,777,1438
1,280,202,482
6,3918,1442,5360
1,50,52,102
17,247879,24779,272658
5,136142,5440,141582
3,70787,6019,76806
3,932,1308,2240
5,18175,2544,20719
8,26175,5068,31243
5,4232,2514,6746
10,24476,3271,27747
27,29700,8854,38554
3,63534,13891,77425
7,580,833,1413
20,6458,4614,11072
2,6730,2426,9156
19,14726,16855,31581
24,45314,9131,54445
47,32460,9123,41583
4,827,798,1625
3,31542,6199,37741
3,502,512,1014
4,32076,2513,34589
2,215,178,393
13,44445,9930,54375
2,3287,1838,5125
2,67746,8454,76200
15,70724,8690,79414
6,9325,3028,12353
10,17415,5364,22779
1,221,142,363
7,4739,3563,8302
1,272,372,644
6,5166,1988,7154
20,47977,8722,56699
2,40366,3879,44245
3,6417,2362,8779
3,2197,997,3194
6,1082,608,1690
11,13937,6683,20620
7,2439,1521,3960
1,12482,2522,15004
11,18656,3404,22060
2,201,181,382
3,1771,786,2557
5,40610,9017,49627
10,43445,7591,51036
5,27453,7669,35122
15,98256,16083,114339
7,10064,3748,13812
14,17490,11946,29436
16,15229,6646,21875
4,5628,3985,9613
10,28182,14167,42349
25,65228,18368,83596
7,3153,1470,4623
11,18541,5487,24028
5,11861,5399,17260
21,11741,8310,20051
6,25173,3268,28441
2,15990,1761,17751
8,23745,3435,27180
19,12700,6263,18963
3,6473,3548,10021
4,571,284,855
5,1170,1194,2364
5,8527,2542,11069
16,4933,3248,8181
4,74616,7302,81918
5,3419,2292,5711
14,70099,9754,79853
9,3974,2002,5976
2,774,801,1575
2,678,715,1393
