text,retweets,replies,tweet_interactions
2,1437,308,1745
2,641,94,735
1,252,64,316
6,1955,252,2207
2,1615,350,1965
1,557,142,699
1,106,41,147
2,3072,506,3578
1,363,41,404
8,3292,461,3753
2,42,18,60
1,1504,121,1625
2,507,80,587
1,556,115,671
1,261,84,345
1,4,7,11
2,8687,1483,10170
3,3591,504,4095
1,722,181,903
1,446,69,515
2,724,131,855
3,1598,318,1916
1,136,99,235
1,488,81,569
1,110,168,278
6,8573,1431,10004
4,3398,311,3709
3,2253,383,2636
1,984,115,1099
2,2572,599,3171
4,543,191,734
1,1262,194,1456
4,5667,438,6105
2,1499,158,1657
2,1361,225,1586
1,0,3,3
1,1516,281,1797
3,2748,343,3091
2,355,103,458
1,408,52,460
2,13843,2485,16328
1,1089,259,1348
1,1295,223,1518
1,1129,144,1273
1,685,147,832
1,564,66,630
1,2084,454,2538
3,1925,359,2284
1,1174,79,1253
1,618,102,720
1,521,95,616
2,2283,268,2551
1,677,111,788
2,3069,420,3489
2,1194,169,1363
4,1961,309,2270
3,481,140,621
1,120,102,222
2,1087,449,1536
4,2486,317,2803
2,3116,395,3511
1,1757,208,1965
2,751,261,1012
1,353,49,402
1,4394,550,4944
2,4420,467,4887
3,2337,396,2733
11,16385,2321,18706
1,1585,172,1757
1,3541,216,3757
4,6824,782,7606
6,8304,754,9058
1,10,12,22
1,2850,383,3233
5,3504,491,3995
5,6048,1319,7367
1,1650,195,1845
5,8344,1092,9436
1,465,245,710
4,6195,907,7102
3,1605,554,2159
8,11048,1798,12846
1,1489,244,1733
1,1688,188,1876
1,1611,201,1812
3,1593,268,1861
1,623,132,755
1,566,91,657
1,973,146,1119
3,13837,1911,15748
3,2041,518,2559
1,1768,316,2084
1,1004,103,1107
2,1277,303,1580
3,2260,691,2951
1,711,168,879
4,1742,225,1967
1,218,243,461
2,2742,638,3380
4,3574,829,4403
1,6440,1035,7475
2,2090,641,2731
1,1677,377,2054
1,1496,572,2068
3,1325,279,1604
1,416,69,485
4,2653,564,3217
1,5,2,7
4,2922,734,3656
3,15159,2561,17720
4,18112,1898,20010
2,1475,300,1775
2,1024,250,1274
1,50,31,81
2,1702,383,2085
1,4223,964,5187
1,14,16,30
2,1262,183,1445
1,3061,348,3409
2,2740,390,3130
1,2447,187,2634
1,1796,162,1958
3,2718,444,3162
6,3398,691,4089
2,2653,305,2958
3,1179,1046,2225
1,1201,237,1438
1,39,37,76
1,141,53,194
2,974,120,1094
1,852,143,995
1,824,143,967
6,3004,418,3422
6,9881,1740,11621
1,2330,673,3003
1,1047,223,1270
1,779,143,922
1,1187,224,1411
1,53,20,73
2,3244,394,3638
2,114,15,129
6,4107,585,4692
1,2349,349,2698
1,70,38,108
1,890,144,1034
1,1578,114,1692
2,2303,338,2641
6,7542,1088,8630
2,3977,616,4593
1,1192,160,1352
3,4100,463,4563
2,838,363,1201
1,419,141,560
1,1591,131,1722
2,3782,379,4161
1,758,233,991
8,2429,475,2904
1,1824,244,2068
4,4536,745,5281
2,1212,167,1379
10,2545,374,2919
2,21,10,31
3,933,106,1039
2,196,41,237
1,847,179,1026
12,2233,2652,4885
3,91,154,245
4,2543,373,2916
7,1379,326,1705
3,537,127,664
1,235,91,326
2,1333,181,1514
1,6,2,8
1,60,21,81
1,33,16,49
1,16,33,49
1,32,18,50
6,7828,1379,9207
8,6007,679,6686
1,332,115,447
1,1576,183,1759
1,25,10,35
1,146,25,171
1,700,61,761
2,1324,217,1541
1,3678,246,3924
1,521,84,605
11,2310,783,3093
4,3085,597,3682
1,1098,202,1300
1,1818,229,2047
8,52384,3768,56152
1,4803,534,5337
1,874,260,1134
3,8981,1011,9992
1,1127,127,1254
2,2837,330,3167
2,1567,322,1889
10,12451,2286,14737
2,8227,1288,9515
1,1440,394,1834
1,47,53,100
1,268,72,340
1,2338,970,3308
1,1877,295,2172
2,1945,247,2192
6,4910,854,5764
3,4355,575,4930
1,13,14,27
4,1709,354,2063
3,8996,1081,10077
1,747,34,781
3,2018,282,2300
1,53,18,71
2,5054,498,5552
4,40,20,60
2,1130,227,1357
1,1823,310,2133
3,1618,238,1856
4,2068,355,2423
1,73,23,96
3,6067,993,7060
2,3797,337,4134
3,2392,393,2785
2,11,13,24
1,11,12,23
1,967,168,1135
1,2556,616,3172
5,6290,651,6941
11,11034,1988,13022
14,26707,2890,29597
12,10662,2465,13127
37,13569,4280,17849
8,567,448,1015
3,1707,280,1987
6,394,186,580
2,4365,670,5035
7,5380,708,6088
4,7079,1431,8510
1,95,34,129
3,1255,291,1546
1,3074,224,3298
4,3575,553,4128
1,1025,165,1190
5,4960,534,5494
1,175,9,184
5,5479,688,6167
3,30,26,56
17,1728,343,2071
9,1510,306,1816
2,3744,520,4264
2,2343,462,2805
6,17160,1809,18969
4,473,224,697
1,6,9,15
5,4836,751,5587
3,1517,258,1775
2,4356,475,4831
7,1245,348,1593
1,10,3,13
5,2467,313,2780
1,792,95,887
1,52,18,70
1,1317,124,1441
1,742,128,870
4,3272,698,3970
2,9899,747,10646
1,1096,109,1205
1,7,43,50
1,1090,91,1181
3,1560,400,1960
3,17974,1135,19109
7,7321,2657,9978
3,4186,499,4685
1,525,84,609
1,2357,242,2599
3,1980,286,2266
2,5031,456,5487
