date,text,retweets,replies,favorites,tweet_interactions
2013-01-15,1,177,42,119,338
2013-01-18,1,579,71,245,895
2013-01-26,1,207,35,108,350
2013-01-30,1,357,45,152,554
2013-02-04,3,1783,127,1025,2935
2013-02-08,3,288,62,172,522
2013-02-09,1,222,60,98,380
2013-02-10,1,57,9,28,94
2013-02-11,6,1663,338,672,2673
2013-02-14,1,91,42,86,219
2013-02-15,2,150,44,76,270
2013-02-16,1,386,77,183,646
2013-02-18,1,96,34,49,179
2013-02-19,1,99,12,50,161
2013-02-23,1,9,6,13,28
2013-02-25,1,5,1,4,10
2013-02-26,1,252,25,184,461
2013-02-27,3,555,62,158,775
2013-03-01,15,5429,1021,2134,8584
2013-03-02,1,331,60,152,543
2013-03-06,1,214,72,121,407
2013-03-08,9,576,230,451,1257
2013-03-09,2,559,162,256,977
2013-03-10,1,206,46,287,539
2013-03-17,2,72,18,46,136
2013-03-19,1,232,40,158,430
2013-03-20,3,733,112,710,1555
2013-03-23,9,663,266,412,1341
2013-03-24,2,5,5,17,27
2013-03-25,2,1048,199,386,1633
2013-03-26,6,921,223,505,1649
2013-03-29,3,505,113,358,976
2013-03-30,3,681,162,154,997
2013-03-31,2,68,36,74,178
2013-04-01,4,641,175,392,1208
2013-04-02,8,342,127,280,749
2013-04-03,2,200,65,101,366
2013-04-08,4,826,530,745,2101
2013-04-09,9,453,367,649,1469
2013-04-10,2,54,25,54,133
2013-04-11,6,798,235,606,1639
2013-04-13,1,208,107,112,427
2013-04-17,2,516,103,139,758
2013-04-18,2,187,23,153,363
2013-04-21,1,128,12,69,209
2013-04-22,3,616,140,752,1508
2013-04-23,8,1793,432,713,2938
2013-04-24,2,5,4,10,19
2013-04-25,5,449,154,371,974
2013-04-26,2,1,5,11,17
2013-04-28,1,439,87,350,876
2013-04-30,2,374,43,221,638
2013-05-01,5,3,8,23,34
2013-05-02,6,429,201,359,989
2013-05-03,13,224,118,199,541
2013-05-04,4,15,6,25,46
2013-05-05,4,16,7,21,44
2013-05-06,3,553,274,262,1089
2013-05-07,5,513,223,416,1152
2013-05-08,2,480,224,461,1165
2013-05-09,4,513,390,328,1231
2013-05-12,11,490,227,444,1161
2013-05-13,5,65,46,100,211
2013-05-14,2,127,135,109,371
2013-05-15,1,18,7,22,47
2013-05-18,2,114,120,236,470
2013-05-19,2,4,5,18,27
2013-05-20,2,28,42,149,219
2013-05-22,1,1841,251,760,2852
2013-05-23,3,481,159,432,1072
2013-05-24,6,1236,271,617,2124
2013-05-25,33,4019,2085,3237,9341
2013-05-26,2,142,59,95,296
2013-05-30,2,674,250,355,1279
2013-06-03,4,1780,297,1403,3480
2013-06-05,1,1071,233,1384,2688
2013-06-06,4,1022,270,776,2068
2013-06-08,2,235,69,191,495
2013-06-10,1,256,64,160,480
2013-06-12,2,324,159,254,737
2013-06-18,4,696,219,363,1278
2013-06-19,1,122,136,96,354
2013-06-20,1,436,106,341,883
2013-06-21,2,221,85,118,424
2013-06-24,1,0,3,3,6
2013-06-25,3,3,10,15,28
2013-06-28,3,941,120,226,1287
2013-06-29,1,749,96,264,1109
2013-06-30,1,50,25,87,162
2013-07-02,1,594,122,477,1193
2013-07-06,1,1787,314,689,2790
2013-07-09,2,2242,212,1471,3925
2013-07-10,2,556,49,279,884
2013-07-15,5,3170,641,1794,5605
2013-07-23,1,856,237,553,1646
2013-07-24,1,326,40,219,585
2013-07-28,1,427,158,281,866
2013-08-01,1,471,46,280,797
2013-08-07,1,215,56,205,476
2013-08-12,3,8301,1255,3919,13475
2013-08-14,1,1186,280,592,2058
2013-08-16,1,694,199,413,1306
2013-08-20,1,2118,382,914,3414
2013-08-23,4,3835,838,2211,6884
2013-08-24,1,328,70,330,728
2013-09-04,1,251,81,289,621
2013-09-05,2,2984,550,1769,5303
2013-09-06,1,398,114,264,776
2013-09-07,1,897,283,486,1666
2013-09-10,3,1044,238,741,2023
2013-09-13,1,89,40,60,189
2013-09-15,1,136,53,119,308
2013-09-18,3,2888,466,1460,4814
2013-09-19,2,1173,278,1127,2578
2013-09-20,2,743,139,458,1340
2013-09-25,2,637,129,342,1108
2013-09-26,1,236,43,175,454
2013-09-27,1,646,86,280,1012
2013-09-29,6,2967,669,2063,5699
2013-10-04,1,1260,309,591,2160
2013-10-12,1,1847,398,897,3142
2013-10-26,1,272,134,660,1066
2013-10-30,1,437,69,202,708
2013-11-02,1,350,58,435,843
2013-11-10,1,750,131,379,1260
2013-11-12,1,1020,223,1013,2256
2013-11-14,1,478,88,529,1095
2013-11-19,4,6088,1818,3571,11477
2013-11-21,1,692,122,430,1244
2013-11-23,4,801,230,821,1852
2013-11-24,1,136,74,348,558
2013-11-26,1,306,116,251,673
2013-11-28,12,3184,697,2306,6187
2013-11-29,1,45,28,45,118
2013-11-30,2,440,95,299,834
2013-12-02,4,1187,260,960,2407
2013-12-03,9,1435,455,1332,3222
2013-12-04,1,2031,252,1565,3848
2013-12-05,3,1243,184,1071,2498
2013-12-10,1,190,46,134,370
2013-12-19,2,372,106,487,965
2013-12-21,2,1636,215,1107,2958
2013-12-22,1,11,6,16,33
2013-12-25,1,3,1,11,15
2013-12-26,1,4,30,13,47
2014-01-06,2,419,108,462,989
2014-01-07,1,309,95,298,702
2014-01-23,1,567,184,557,1308
2014-01-26,3,1676,304,1709,3689
2014-01-30,1,1142,264,1220,2626
2014-02-02,1,1244,228,1125,2597
2014-02-07,1,533,89,463,1085
2014-02-09,2,973,269,1506,2748
2014-02-11,1,647,195,315,1157
2014-02-14,1,166,28,209,403
2014-02-24,2,1369,213,1425,3007
