date,text,retweets,replies,tweet_interactions
2016-05-06,1,22,24,46
2016-05-10,1,6,9,15
2016-05-14,1,960,134,1094
2016-05-18,3,2102,239,2341
2016-06-01,1,1090,91,1181
2016-06-02,1,738,258,996
2016-06-04,1,505,63,568
2016-06-08,1,1636,169,1805
2016-06-19,1,2402,187,2589
2016-06-29,1,1185,122,1307
2016-06-30,1,1592,302,1894
2016-07-05,1,125,44,169
2016-07-06,3,1798,231,2029
2016-07-10,5,17429,1725,19154
2016-07-12,1,1488,280,1768
2016-07-15,1,2068,380,2448
2016-07-17,4,4243,681,4924
2016-07-18,1,51,30,81
2016-07-19,1,2200,818,3018
2016-07-20,1,665,306,971
2016-07-21,2,11776,1236,13012
2016-07-29,2,2578,426,3004
2016-07-31,2,134,70,204
2016-08-23,1,4572,660,5232
2016-08-31,1,275,106,381
2016-09-13,2,2463,311,2774
2016-09-16,1,886,101,987
2016-09-21,2,1330,200,1530
2016-09-22,2,8276,726,9002
2016-09-23,1,1270,143,1413
2016-09-28,1,19,8,27
2016-10-07,1,2158,336,2494
2016-10-09,2,6058,883,6941
2016-10-10,3,12277,1092,13369
2016-10-16,1,1865,634,2499
2016-10-19,3,6407,1023,7430
2016-10-20,3,16664,1556,18220
2016-10-27,2,2562,278,2840
2016-10-29,2,8401,1615,10016
2016-11-04,5,1179,332,1511
2016-11-05,2,277,74,351
2016-11-06,1,5246,714,5960
2016-11-17,1,2745,451,3196
2016-11-19,1,2479,259,2738
2016-12-01,1,5834,544,6378
2016-12-11,1,227,214,441
2016-12-18,1,77,45,122
2016-12-22,2,5338,932,6270
2016-12-24,2,137,45,182
2017-01-10,1,32,36,68
2017-01-11,1,314,98,412
2017-01-12,1,82,36,118
2017-01-19,1,3242,256,3498
2017-01-21,1,804,103,907
2017-01-22,1,214,56,270
2017-02-07,3,7470,840,8310
2017-02-10,1,33,23,56
2017-02-11,1,85,51,136
2017-02-15,2,22196,1298,23494
2017-02-23,1,853,219,1072
2017-03-10,2,6802,710,7512
2017-03-12,1,1718,509,2227
2017-03-24,3,1387,526,1913
2017-03-28,1,96,39,135
2017-04-03,1,533,150,683
2017-04-07,1,958,756,1714
2017-04-12,1,1655,732,2387
2017-04-13,3,16224,2073,18297
2017-04-17,1,19,49,68
2017-05-10,4,10705,2167,12872
2017-05-12,1,8,18,26
2017-05-22,2,4262,891,5153
2017-06-01,1,24806,1815,26621
2017-06-06,1,1276,558,1834
2017-06-08,4,3337,1125,4462
2017-06-09,5,14213,1664,15877
2017-06-17,1,2152,752,2904
2017-07-03,1,7923,3556,11479
2017-07-09,1,85,65,150
2017-07-11,1,4045,1353,5398
2017-07-17,2,4351,1003,5354
2017-07-21,1,36,34,70
2017-07-26,1,3073,629,3702
2017-07-27,1,21,28,49
2017-08-05,1,14050,927,14977
2017-08-10,1,304,163,467
2017-08-14,1,4358,1130,5488
2017-08-20,1,933,234,1167
2017-08-26,1,103,60,163
2017-08-27,1,20,14,34
2017-08-31,1,2075,377,2452
2017-09-13,1,14265,1805,16070
2017-09-16,2,462,319,781
2017-10-02,1,87,47,134
2017-10-05,1,9409,1195,10604
2017-10-06,5,10849,2449,13298
2017-10-12,2,398,314,712
2017-10-26,1,3298,1205,4503
2017-11-12,1,25094,2754,27848
2017-11-17,1,22722,2059,24781
2017-11-19,1,6259,1377,7636
2017-11-23,1,7464,1145,8609
2017-12-02,1,15834,3846,19680
2017-12-21,1,1974,773,2747
2017-12-23,1,2543,935,3478
2017-12-26,3,14324,15684,30008
2018-01-07,1,16592,4430,21022
2018-02-05,1,2121,709,2830
2018-02-07,1,21808,4613,26421
2018-02-24,1,984,372,1356
2018-03-07,1,4309,899,5208
2018-03-22,2,2290,491,2781
2018-04-01,4,46144,7594,53738
2018-04-02,3,5212,1534,6746
2018-04-04,1,2158,1053,3211
2018-04-08,1,1099,234,1333
2018-04-13,2,9193,1865,11058
2018-04-15,1,2790,824,3614
2018-04-18,1,33313,2095,35408
2018-05-02,1,72,43,115
2018-05-04,5,7066,2838,9904
2018-05-09,1,1122,532,1654
2018-05-10,1,2045,593,2638
2018-05-11,4,1809,660,2469
2018-05-14,3,25923,4605,30528
2018-05-17,1,193,132,325
2018-05-20,6,14582,3833,18415
2018-05-21,7,594,666,1260
2018-05-22,6,11937,18239,30176
2018-05-23,4,6371,2014,8385
2018-05-24,2,405,320,725
2018-05-25,2,95,106,201
2018-05-26,8,7532,3842,11374
2018-05-28,2,763,390,1153
2018-05-30,2,2061,573,2634
2018-05-31,1,7,18,25
2018-06-01,2,6706,940,7646
2018-06-02,1,194,38,232
2018-06-03,2,175,83,258
2018-06-08,3,600,251,851
2018-06-09,2,11723,2665,14388
2018-06-10,6,1807,552,2359
2018-06-12,1,10132,1865,11997
2018-06-15,1,162,53,215
2018-06-16,2,4497,1485,5982
2018-06-17,10,2042,1210,3252
2018-06-18,1,68,36,104
2018-06-19,4,856,596,1452
2018-06-20,2,389,131,520
2018-06-22,1,1049,1009,2058
2018-06-23,2,1245,572,1817
2018-06-24,2,5900,754,6654
2018-06-25,1,406,233,639
2018-06-26,6,9765,30801,40566
2018-06-27,1,213,63,276
2018-07-01,1,12972,4833,17805
2018-07-05,8,1021,698,1719
2018-07-11,1,31,36,67
2018-07-12,1,2684,1150,3834
2018-07-14,1,148,179,327
2018-07-21,2,947,285,1232
2018-07-23,1,140,57,197
2018-07-26,1,2765,810,3575
2018-07-31,2,216,197,413
2018-08-01,3,15358,5882,21240
2018-08-05,5,3341,1696,5037
2018-08-07,3,17419,7009,24428
2018-08-08,1,1199,500,1699
2018-08-11,3,18896,3254,22150
2018-08-14,1,1211,708,1919
2018-08-18,1,1089,681,1770
2018-08-19,1,3498,1585,5083
2018-08-24,2,5522,1674,7196
2018-08-25,2,1004,432,1436
2018-09-06,1,1397,728,2125
2018-09-11,1,1367,1494,2861
2018-09-12,1,1583,1406,2989
2018-09-14,1,519,267,786
2018-09-15,1,2264,1176,3440
2018-09-16,4,2236,1049,3285
2018-09-17,2,737,438,1175
2018-09-19,1,106,120,226
2018-09-20,2,833,437,1270
2018-09-22,1,339,345,684
2018-09-25,1,2941,2705,5646
2018-09-28,2,3739,2233,5972
2018-09-29,1,78,102,180
2018-10-02,1,101,73,174
2018-10-04,1,269,209,478
2018-10-05,1,3295,1375,4670
2018-10-07,1,638,473,1111
2018-10-08,1,3198,941,4139
2018-10-09,2,6023,1210,7233
2018-10-11,1,548,166,714
2018-10-12,2,32960,5263,38223
2018-10-14,1,544,202,746
2018-10-15,3,752,1186,1938
2018-10-16,1,42,37,79
2018-10-17,2,2533,1674,4207
2018-10-18,3,6233,3851,10084
2018-10-19,1,204,188,392
2018-10-22,1,1073,408,1481
2018-10-23,2,4254,2007,6261
2018-10-25,2,4918,2629,7547
2018-10-26,1,168,119,287
2018-10-27,1,3747,1611,5358
2018-10-29,1,9183,3710,12893
2018-10-31,1,3438,579,4017
2018-11-01,3,8670,1984,10654
2018-11-02,3,777,212,989
2018-11-09,1,2193,22527,24720
2018-11-10,1,15199,2627,17826
2018-11-14,1,741,448,1189
2018-11-15,1,1823,1387,3210
2018-11-17,1,59,33,92
2018-11-19,9,6120,2445,8565
2018-11-23,1,3887,2202,6089
2018-11-26,1,3177,1511,4688
2018-11-28,1,2303,1023,3326
2018-11-29,3,29813,5495,35308
2018-11-30,1,908,323,1231
2018-12-01,2,77,62,139
2018-12-03,2,172,178,350
2018-12-09,8,16931,4849,21780
2018-12-11,7,10140,4077,14217
2018-12-15,1,530,404,934
2018-12-16,1,1490,859,2349
2018-12-18,1,2175,689,2864
2018-12-19,2,9648,1849,11497
2018-12-20,2,3010,1455,4465
2018-12-22,3,1678,944,2622
2018-12-26,7,7834,4308,12142
2018-12-27,1,156,103,259
2018-12-28,1,2336,1098,3434
2018-12-30,1,147,106,253
2018-12-31,1,986,323,1309
2019-01-01,1,3192,1088,4280
2019-01-03,3,2653,781,3434
2019-01-05,1,480,244,724
2019-01-07,1,2151,1036,3187
2019-01-09,3,27460,7500,34960
2019-01-10,1,3290,961,4251
2019-01-16,2,89,76,165
2019-01-17,1,2121,1775,3896
2019-01-19,2,206,156,362
2019-01-22,1,3613,1377,4990
2019-01-26,1,80,50,130
2019-01-27,3,6998,3019,10017
2019-01-28,1,2201,651,2852
2019-01-31,5,9229,2424,11653
2019-02-08,1,2417,862,3279
2019-02-09,1,2655,2169,4824
2019-02-13,1,4677,1054,5731
2019-02-14,2,2635,1291,3926
2019-02-17,2,160,145,305
2019-02-20,2,27502,7500,35002
2019-02-26,1,587,374,961
2019-02-27,1,2052,2154,4206
2019-03-01,2,3045,1881,4926
2019-03-02,1,1427,1152,2579
2019-03-03,3,5106,1454,6560
2019-03-05,1,171,239,410
2019-03-07,5,2755,1318,4073
2019-03-12,2,1712,1444,3156
2019-03-15,1,1811,974,2785
2019-03-16,4,7095,4207,11302
2019-03-21,1,46,72,118
2019-03-22,2,1668,1178,2846
2019-03-24,2,1722,1554,3276
2019-03-26,2,1178,907,2085
2019-03-27,1,324,248,572
2019-03-28,1,172,245,417
2019-03-29,1,422,358,780
2019-03-30,4,19239,4775,24014
2019-04-01,1,388,258,646
2019-04-04,1,251,195,446
2019-04-05,2,2311,830,3141
2019-04-06,1,1347,710,2057
2019-04-07,1,72,99,171
2019-04-08,2,5781,1153,6934
2019-04-12,2,253,300,553
2019-04-13,6,4116,4028,8144
2019-04-14,5,838,576,1414
2019-04-16,1,283,224,507
2019-04-19,1,74,65,139
2019-04-21,1,317,570,887
2019-04-22,1,289,169,458
2019-04-23,10,41683,15670,57353
2019-04-24,4,20400,4562,24962
2019-04-25,1,1519,524,2043
2019-04-26,1,220,233,453
2019-04-27,1,46,32,78
2019-04-28,1,24,18,42
2019-05-03,1,16309,3899,20208
2019-05-04,2,2106,938,3044
2019-05-07,1,320,262,582
2019-05-08,2,1357,1308,2665
2019-05-09,1,149,157,306
2019-05-10,1,810,344,1154
2019-05-12,1,157,99,256
2019-05-17,1,4160,1126,5286
2019-05-18,1,4319,759,5078
2019-05-19,1,6243,1577,7820
2019-05-24,2,2587,789,3376
2019-05-25,1,5657,1523,7180
2019-05-27,1,127,69,196
2019-05-29,2,2033,898,2931
2019-05-30,1,352,229,581
2019-05-31,2,6409,2094,8503
2019-06-03,1,199,150,349
2019-06-04,1,113,167,280
2019-06-12,1,2729,783,3512
2019-06-13,1,3102,1122,4224
2019-06-14,1,802,655,1457
2019-06-15,1,57,47,104
2019-06-17,1,33,53,86
2019-06-19,3,2044,3139,5183
2019-06-20,2,1850,826,2676
