;url;price_per_sqm;latitude;longitude;flat_id
72;https://www.eixhabitat.es/f-E-6388-3693771;4.048;41.4128412789;2.1764046542;3693771
73;https://www.eixhabitat.es/f-E-6388-3661653;4.12;41.3834766844;2.1533322224;3661653
74;https://www.eixhabitat.es/f-E-6388-3639056;4.622;41.3837551621;2.14897426;3639056
75;https://www.eixhabitat.es/f-E-6388-3661523;5.391;41.3822518939;2.1576969662;3661523
76;https://www.eixhabitat.es/f-E-6388-3609836;;;;3609836
77;https://www.eixhabitat.es/f-E-6388-3679462;3.171;41.3741667265;2.1687043367;3679462
78;https://www.eixhabitat.es/f-E-6388-3635168;2.25;41.3756802371;2.1350380941;3635168
79;https://www.eixhabitat.es/f-E-6388-3661467;5.5;41.4048399496;2.2060447395;3661467
80;https://www.eixhabitat.es/f-E-6388-3661722;4.462;41.3815155066;2.1355544354;3661722
81;https://www.eixhabitat.es/f-E-6388-3691358;4.609;41.40255498;2.1592885793;3691358
82;https://www.eixhabitat.es/f-E-6388-3621191;4.397;41.4103793371;2.1846416882;3621191
83;https://www.eixhabitat.es/f-E-6388-3621260;6.385;41.4024831148;2.1593724106;3621260
84;https://www.eixhabitat.es/f-E-6388-3693771;4.048;41.4128412789;2.1764046542;3693771
85;https://www.eixhabitat.es/f-E-6388-3661653;4.12;41.3834766844;2.1533322224;3661653
86;https://www.eixhabitat.es/f-E-6388-3639056;4.622;41.3837551621;2.14897426;3639056
87;https://www.eixhabitat.es/f-E-6388-3661523;5.391;41.3822518939;2.1576969662;3661523
